PaperId,Title,Year,CitationCount,FieldsOfStudy
W3034016318,Clinical Characteristics of 58 Children With a Pediatric Inflammatory Multisystem Syndrome Temporally Associated With SARS-CoV-2,2020,2001,General
W3119858919,Adaptive immunity to SARS-CoV-2 and COVID-19,2021,1929,General
W3084879098,Antigen-Specific Adaptive Immunity to SARS-CoV-2 in Acute COVID-19 and Associations with Age and Disease Severity,2020,1920,General
W4367310920,Comparing Physician and Artificial Intelligence Chatbot Responses to Patient Questions Posted to a Public Social Media Forum,2023,1844,General
W4401211033,Review of Particle Physics,2024,1817,Computer Science
W4220838968,Reproducible brain-wide association studies require thousands of individuals,2022,1813,General
W3030573714,Clinical impact of COVID-19 on patients with cancer (CCC19): a cohort study,2020,1766,General
W4318923555,AASLD Practice Guidance on the clinical assessment and management of nonalcoholic fatty liver disease,2023,1762,General
W3216151710,"Prevalence and Characteristics of Autism Spectrum Disorder Among Children Aged 8 Years — Autism and Developmental Disabilities Monitoring Network, 11 Sites, United States, 2018",2021,1739,General
W3092621662,A comprehensive quantification of global nitrous oxide sources and sinks,2020,1699,General
W3117083078,"Global epidemiology of NAFLD-related HCC: trends, predictions, risk factors and prevention",2020,1677,General
W3028960763,RNA delivery by extracellular vesicles in mammalian cells and its applications,2020,1668,General
W3121407008,Large-scale association analyses identify host factors influencing human gut microbiome composition,2021,1663,General
W3095484986,Molecular and cellular mechanisms of liver fibrosis and its regression,2020,1655,General
W4206799195,"Inflammation in obesity, diabetes, and related disorders",2022,1633,General
W3134887329,"Colon Cancer, Version 2.2021, NCCN Clinical Practice Guidelines in Oncology",2021,1622,General
W3160163020,Mechanisms and disease consequences of nonalcoholic fatty liver disease,2021,1619,General
W3010197652,"Breast Cancer, Version 3.2020, NCCN Clinical Practice Guidelines in Oncology",2020,1589,General
W3013752275,Impact on mental health and perceptions of psychological care among medical and nursing staff in Wuhan during the 2019 novel coronavirus disease outbreak: A cross-sectional study,2020,1561,General
W4308150510,Microglia states and nomenclature: A field at its crossroads,2022,1554,General
W4210511445,"Gastric Cancer, Version 2.2022, NCCN Clinical Practice Guidelines in Oncology",2022,1529,General
W4225246927,Brain charts for the human lifespan,2022,1504,General
W3038503389,"NRF2, a Transcription Factor for Stress Response and Beyond",2020,1490,General
W3035459690,Isolation of potent SARS-CoV-2 neutralizing antibodies and protection from disease in a small animal model,2020,1468,General
W3162259891,"Genome-wide association study of more than 40,000 bipolar disorder cases provides new insights into the underlying biology",2021,1416,General
W3194080835,Airborne transmission of respiratory viruses,2021,1407,General
W4280533169,"Non–Small Cell Lung Cancer, Version 3.2022, NCCN Clinical Practice Guidelines in Oncology",2022,1326,General
W3080789666,Feature-based molecular networking in the GNPS analysis environment,2020,1320,Computer Science
W4387440676,AmberTools,2023,1314,General
W3034825141,Identifying airborne transmission as the dominant route for the spread of COVID-19,2020,1294,General
W3041891326,"Head and Neck Cancers, Version 2.2020, NCCN Clinical Practice Guidelines in Oncology",2020,1285,General
W3032874046,The 16th Data Release of the Sloan Digital Sky Surveys: First Release from the APOGEE-2 Southern Survey and Full Release of eBOSS Spectra,2020,1254,General
W3046003662,A large-scale binding and functional map of human RNA-binding proteins,2020,1246,General
W3047159181,Selective and cross-reactive SARS-CoV-2 T cell epitopes in unexposed humans,2020,1244,General
W4391592880,"A Phase 3, Randomized, Controlled Trial of Resmetirom in NASH with Liver Fibrosis",2024,1238,General
W3038591351,Interfaces and Interphases in All-Solid-State Batteries with Inorganic Solid Electrolytes,2020,1236,General
W3016572296,Association of Inpatient Use of Angiotensin-Converting Enzyme Inhibitors and Angiotensin II Receptor Blockers With Mortality Among Patients With Hypertension Hospitalized With COVID-19,2020,1170,General
W3099810371,Deciphering cell–cell interactions and communication from gene expression,2020,1170,General
W3085153423,SARS-CoV-2 Infection Depends on Cellular Heparan Sulfate and ACE2,2020,1147,General
W3153075376,"Pancreatic Adenocarcinoma, Version 2.2021, NCCN Clinical Practice Guidelines in Oncology",2021,1146,General
W3171954900,2021 American College of Rheumatology Guideline for the Treatment of Rheumatoid Arthritis,2021,1137,General
W3138215020,The microbiome and human cancer,2021,1131,General
W3048596299,Extracellular Vesicle and Particle Biomarkers Define Multiple Human Cancers,2020,1127,General
W3097803258,The Challenges of Tumor Mutational Burden as an Immunotherapy Biomarker,2020,1114,General
W4285097283,"Soft Tissue Sarcoma, Version 2.2022, NCCN Clinical Practice Guidelines in Oncology",2022,1079,General
W3011488280,A Sequence Homology and Bioinformatic Approach Can Predict Candidate Targets for Immune Responses to SARS-CoV-2,2020,1072,General
W4229010282,Plant hormone regulation of abiotic stress responses,2022,1067,General
W3126519734,Gut <i>Bacteroides</i> species in health and disease,2021,1050,General
W3118983547,"Genetic/Familial High-Risk Assessment: Breast, Ovarian, and Pancreatic, Version 2.2021, NCCN Clinical Practice Guidelines in Oncology",2021,1045,General
W3088579397,Beyond Shielding: The Roles of Glycans in the SARS-CoV-2 Spike Protein,2020,1027,General
W4294052984,Surface reaction for efficient and stable inverted perovskite solar cells,2022,1022,General
W3159719254,Mol* Viewer: modern web app for 3D visualization and analysis of large biomolecular structures,2021,1018,General
W4323653529,Technology Roadmap for Flexible Sensors,2023,1013,Computer Science
W4382358671,Search for an Isotropic Gravitational-wave Background with the Parkes Pulsar Timing Array,2023,1009,General
W3012260518,"Therapeutic monitoring of vancomycin for serious methicillin-resistant <i>Staphylococcus aureus</i> infections: A revised consensus guideline and review by the American Society of Health-System Pharmacists, the Infectious Diseases Society of America, the Pediatric Infectious Diseases Society, and the Society of Infectious Diseases Pharmacists",2020,1004,General
W3009555114,Conscious Processing and the Global Neuronal Workspace Hypothesis,2020,999,Computer Science
W3042519295,ARRIVE 2.0 and the British Journal of Pharmacology: Updated guidance for 2020,2020,996,General
W3010810358,RETRACTED ARTICLE: Microbiome analyses of blood and tissues suggest cancerdiagnostic approach,2020,992,General
W4308616455,"Introducing the Bacterial and Viral Bioinformatics Resource Center (BV-BRC): a resource combining PATRIC, IRD and ViPR",2022,991,General
W3037718428,Phenotype and kinetics of SARS-CoV-2–specific T cells in COVID-19 patients with acute respiratory distress syndrome,2020,984,General
W3197290161,"A genome-wide association study with 1,126,563 individuals identifies new risk loci for Alzheimer’s disease",2021,981,General
W3015706105,Are we facing a crashing wave of neuropsychiatric sequelae of COVID-19? Neuropsychiatric symptoms and potential immunologic mechanisms,2020,979,General
W3135105663,"NCCN Guidelines Insights: Non–Small Cell Lung Cancer, Version 2.2021",2021,977,General
W3011642937,"Consensus guidelines for the definition, detection and interpretation of immunogenic cell death",2020,973,General
W3091506611,metaFlye: scalable long-read metagenome assembly using repeat graphs,2020,969,General
W3165133969,"Hepatobiliary Cancers, Version 2.2021, NCCN Clinical Practice Guidelines in Oncology",2021,966,General
W3034680516,The receptor-binding domain of the viral spike protein is an immunodominant and highly specific target of antibodies in SARS-CoV-2 patients,2020,960,General
W3152912772,Ten scientific reasons in support of airborne transmission of SARS-CoV-2,2021,960,General
W4200043367,miRTarBase update 2022: an informative resource for experimentally validated miRNA–target interactions,2021,953,General
W3128534511,Barriers to and Facilitators of User Engagement With Digital Mental Health Interventions: Systematic Review,2021,945,General
W3206948891,Prospective Study of Outcomes in Adults with Nonalcoholic Fatty Liver Disease,2021,932,General
W4232642069,2021 American College of Rheumatology Guideline for the Treatment of Rheumatoid Arthritis,2021,923,General
W3159530258,Clinical diagnosis of Alzheimer's disease: recommendations of the International Working Group,2021,916,General
W3112984291,Defining and managing COVID-19-associated pulmonary aspergillosis: the 2020 ECMM/ISHAM consensus criteria for research and clinical guidance,2020,905,General
W4318391603,Diagnosis of myelin oligodendrocyte glycoprotein antibody-associated disease: International MOGAD Panel proposed criteria,2023,905,General
W4283029993,"Breast Cancer, Version 3.2022, NCCN Clinical Practice Guidelines in Oncology",2022,904,General
W3117727838,Esophageal motility disorders on high‐resolution manometry: Chicago classification version 4.0<sup>©</sup>,2020,902,General
W4308146982,Single-Dose Psilocybin for a Treatment-Resistant Episode of Major Depression,2022,898,General
W3000319248,Clonally expanded CD8 T cells patrol the cerebrospinal fluid in Alzheimer’s disease,2020,892,General
W3163050210,Dynamic interactions at the mineral–organic matter interface,2021,890,General
W3104596207,A genomic catalog of Earth’s microbiomes,2020,888,General
W3031834099,Reducing transmission of SARS-CoV-2,2020,884,General
W3206370075,mRNA vaccines induce durable immune memory to SARS-CoV-2 and variants of concern,2021,884,General
W3208687975,Recent advances and applications of deep learning methods in materials science,2022,884,General
W2997944188,Lipoprotein(a) Reduction in Persons with Cardiovascular Disease,2020,877,General
W4207047906,SARS-CoV-2 vaccination induces immunological T cell memory able to cross-recognize variants from Alpha to Omicron,2022,876,General
W4322739219,Integrative analysis of multimodal mass spectrometry data in MZmine 3,2023,855,General
W3088521725,Animal models for COVID-19,2020,853,General
W3000291311,Performance and Cost Assessment of Machine Learning Interatomic Potentials,2020,841,General
W3201219318,Trastuzumab Deruxtecan in <i>HER2</i> -Mutant Non–Small-Cell Lung Cancer,2021,836,General
W3044927477,Discovery of SARS-CoV-2 antiviral drugs through large-scale compound repurposing,2020,829,General
W3011154449,The genetic architecture of the human cerebral cortex,2020,826,General
W3164845562,The trans-ancestral genomic architecture of glycemic traits,2021,823,General
W4281650778,Adagrasib in Non–Small-Cell Lung Cancer Harboring a <i> KRAS <sup>G12C</sup> </i> Mutation,2022,823,General
W3199074476,Carbon-free high-loading silicon anodes enabled by sulfide solid electrolytes,2021,814,General
W3036513507,"Targeting the Hippo pathway in cancer, fibrosis, wound healing and regenerative medicine",2020,811,General
W4213290578,Synovial inflammation in osteoarthritis progression,2022,807,General
W3014677172,How RNA-Binding Proteins Interact with RNA: Molecules and Mechanisms,2020,803,General
W3022414345,Restoring synovial homeostasis in rheumatoid arthritis by targeting fibroblast-like synoviocytes,2020,802,General
W4225986862,High-entropy nanoparticles: Synthesis-structure-property relationships and data-driven discovery,2022,802,General
W3081278682,Efficacy of Selpercatinib in <i>RET</i> Fusion–Positive Non–Small-Cell Lung Cancer,2020,796,General
W2998095377,MOF-Polymer Hybrid Materials: From Simple Composites to Tailored Architectures,2020,791,General
W3091542356,Electrochemical glucose sensors in diabetes management: an updated review (2010–2020),2020,790,General
W3110082941,International consensus statement on allergy and rhinology: rhinosinusitis 2021,2020,787,General
W3164046276,Structure-based protein function prediction using graph convolutional networks,2021,786,General
W3015631092,Association of chemosensory dysfunction and COVID‐19 in patients presenting with influenza‐like symptoms,2020,782,General
W3137107306,SARS-CoV-2 infection of the oral cavity and saliva,2021,780,General
W3216394740,ACG Clinical Guideline for the Diagnosis and Management of Gastroesophageal Reflux Disease,2021,780,General
W4304698823,A saturated map of common genetic variants associated with human height,2022,772,General
W3042374389,Telomere-to-telomere assembly of a complete human X chromosome,2020,769,General
W3104285666,Inferring the molecular and phenotypic impact of amino acid variants with MutPred2,2020,769,General
W3181205698,"Global, regional, and national burden of mortality associated with non-optimal ambient temperatures from 2000 to 2019: a three-stage modelling study",2021,769,General
W3028280407,Precise phylogenetic analysis of microbial isolates and genomes from metagenomes using PhyloPhlAn 3.0,2020,768,General
W3156459939,Physical inactivity is associated with a higher risk for severe COVID-19 outcomes: a study in 48 440 adult patients,2021,768,General
W3134786422,Tailoring electrolyte solvation for Li metal batteries cycled at ultra-low temperature,2021,759,General
W3117287302,"Radiological Society of North America Expert Consensus Document on Reporting Chest CT Findings Related to COVID-19: Endorsed by the Society of Thoracic Radiology, the American College of Radiology, and RSNA",2020,753,General
W3091953196,"Update on LIPID MAPS classification, nomenclature, and shorthand notation for MS-derived lipid structures",2020,750,General
W4309908854,RCSB Protein Data Bank (RCSB.org): delivery of experimentally-determined PDB structures alongside one million computed structure models of proteins from artificial intelligence/machine learning,2022,742,General
W4210341450,Fundamentals of Modern VLSI Devices,2021,729,General
W3023307059,Pervasive ice sheet mass loss reflects competing ocean and atmosphere processes,2020,727,General
W3204443805,"Comparative cellular analysis of motor cortex in human, marmoset and mouse",2021,725,General
W4306250770,"Rectal Cancer, Version 2.2022, NCCN Clinical Practice Guidelines in Oncology",2022,720,General
W3033699454,American Cancer Society guideline for diet and physical activity for cancer prevention,2020,718,General
W4295242484,Liquid biopsy: current technology and clinical applications,2022,717,General
W4307475977,Targeting drugs to tumours using cell membrane-coated nanoparticles,2022,716,General
W4308834828,The ProteomeXchange consortium at 10 years: 2023 update,2022,716,Computer Science
W3108604517,Systematic classification of unknown metabolites using high-resolution fragmentation mass spectra,2020,710,General
W3198011172,Exosomes as mediators of intercellular crosstalk in metabolism,2021,707,General
W3190932060,"Extraintestinal Manifestations of Inflammatory Bowel Disease: Current Concepts, Treatment, and Implications for Disease Management",2021,704,General
W3102461696,Thromboembolism risk of COVID-19 is high and associated with a higher risk of mortality: A systematic review and meta-analysis,2020,703,General
W4281727476,Molecular International Prognostic Scoring System for Myelodysplastic Syndromes,2022,703,General
W4381848486,A multisociety Delphi consensus statement on new fatty liver disease nomenclature,2023,701,General
W3214495208,"Disparities in COVID-19 Outcomes by Race, Ethnicity, and Socioeconomic Status",2021,700,General
W3103940138,Management of Acute Myocarditis and Chronic Inflammatory Cardiomyopathy,2020,696,General
W3107295507,Infection and mortality of healthcare workers worldwide from COVID-19: a systematic review,2020,692,General
W3169193862,"KTE-X19 for relapsed or refractory adult B-cell acute lymphoblastic leukaemia: phase 2 results of the single-arm, open-label, multicentre ZUMA-3 study",2021,686,General
W3092778876,COVID-19-associated acute kidney injury: consensus report of the 25th Acute Disease Quality Initiative (ADQI) Workgroup,2020,681,General
W3155470693,COVID-19 and vaccine hesitancy: A longitudinal study,2021,681,General
W3041564586,Structural basis of a shared antibody response to SARS-CoV-2,2020,676,General
W3080128212,Broad host range of SARS-CoV-2 predicted by comparative and structural analysis of ACE2 in vertebrates,2020,676,General
W3152110994,"Post-translational modifications in proteins: resources, tools and prediction methods",2021,675,General
W3159762970,A molecular single-cell lung atlas of lethal COVID-19,2021,674,General
W4292121737,A compute-in-memory chip based on resistive random-access memory,2022,672,Computer Science
W3014115276,Review of precision cancer medicine: Evolution of the treatment paradigm,2020,670,General
W3013784088,The blood–brain barrier in health and disease: Important unanswered questions,2020,669,General
W3108665729,Human Health and Ocean Pollution,2020,667,General
W3022830821,A general method to synthesize and sinter bulk ceramics in seconds,2020,665,General
W3208129759,Advancing the global public health agenda for NAFLD: a consensus statement,2021,665,General
W3042950801,COVID-19 vaccine development and a potential nanomaterial path forward,2020,664,General
W3209170136,Colorectal Cancer in Inflammatory Bowel Disease: Mechanisms and Management,2021,664,General
W4280552086,Multi-ancestry genetic study of type 2 diabetes highlights the power of diverse populations for discovery and translation,2022,660,General
W3173512675,Impact of SARS-CoV-2 variants on the total CD4+ and CD8+ T cell reactivity in infected or vaccinated individuals,2021,659,General
W3201437718,"Ovarian Cancer, Version 2.2020, NCCN Clinical Practice Guidelines in Oncology",2021,659,General
W3007452564,2020 American College of Rheumatology Guideline for the Management of Reproductive Health in Rheumatic and Musculoskeletal Diseases,2020,656,General
W4310135808,A universal graph deep learning interatomic potential for the periodic table,2022,656,Computer Science
W3134540644,Using social and behavioural science to support COVID-19 pandemic response,2020,655,General
W3000586022,AGA Clinical Practice Guidelines on the Management of Moderate to Severe Ulcerative Colitis,2020,651,General
W3005738019,Effect of Pembrolizumab Plus Neoadjuvant Chemotherapy on Pathologic Complete Response in Women With Early-Stage Breast Cancer,2020,651,General
W3000435220,Strain engineering and epitaxial stabilization of halide perovskites,2020,643,General
W3204859697,MVSNeRF: Fast Generalizable Radiance Field Reconstruction from Multi-View Stereo,2021,642,Computer Science
W4210327840,"The rising tide of early-onset colorectal cancer: a comprehensive review of epidemiology, clinical features, biology, risk factors, prevention, and early detection",2022,640,General
W4220682241,American Cancer Society nutrition and physical activity guideline for cancer survivors,2022,640,General
W4224213495,The Movement Disorder Society Criteria for the Diagnosis of Multiple System Atrophy,2022,637,General
W3189411510,"Unbox the black-box for the medical explainable AI via multi-modal and multi-centre data fusion: A mini-review, two showcases and beyond",2021,636,Computer Science
W3012009865,ENIGMA and global neuroscience: A decade of large-scale studies of the brain in health and disease across more than 40 countries,2020,630,General
W3019889711,"Daratumumab, lenalidomide, bortezomib, and dexamethasone for transplant-eligible newly diagnosed multiple myeloma: the GRIFFIN trial",2020,630,General
W2480498986,Advances in Cryptology – CRYPTO 2020,2020,629,Computer Science
W3011532923,Detecting gravitational waves from cosmological phase transitions with LISA: an update,2020,628,General
W3167697154,Uptake of oxidized lipids by the scavenger receptor CD36 promotes lipid peroxidation and dysfunction in CD8+ T cells in tumors,2021,628,General
W3010741823,T cell subsets and functions in atherosclerosis,2020,627,General
W3025883815,Reproducible molecular networking of untargeted mass spectrometry data using GNPS,2020,624,General
W2999027176,Transcription phenotypes of pancreatic cancer are driven by genomic events during tumor evolution,2020,622,General
W3018423233,Electronic skins and machine learning for intelligent soft robots,2020,616,General
W3200840849,Federated learning for predicting clinical outcomes in patients with COVID-19,2021,611,Computer Science
W3207086349,"A Randomized, Controlled Trial of the Pan-PPAR Agonist Lanifibranor in NASH",2021,611,General
W3039306942,Sodium‐Ion Batteries Paving the Way for Grid Energy Storage,2020,610,General
W4242669880,"Bladder Cancer, Version 3.2020, NCCN Clinical Practice Guidelines in Oncology",2020,610,General
W4361215440,"Global epidemiology of cirrhosis — aetiology, trends and predictions",2023,604,General
W4387321091,Efficient Memory Management for Large Language Model Serving with PagedAttention,2023,604,Computer Science
W3011486545,From nanoscale interface characterization to sustainable energy storage using all-solid-state batteries,2020,597,General
W4313560729,Phage therapy: From biological mechanisms to future directions,2023,597,General
W3132024224,Gut microbiome pattern reflects healthy ageing and predicts survival in humans,2021,596,General
W3003490096,UA-DETRAC: A new benchmark and protocol for multi-object detection and tracking,2020,594,Computer Science
W3048799955,Integrating the evidence for a terrestrial carbon sink caused by increasing atmospheric CO <sub>2</sub>,2020,594,General
W3118915980,The changing risk and burden of wildfire in the United States,2021,594,General
W4229035861,Improving polygenic prediction in ancestrally diverse populations,2022,592,General
W3104615841,Efficient Direct Recycling of Lithium-Ion Battery Cathodes by Targeted Healing,2020,588,General
W3046671820,"Implications of TP53 allelic state for genome stability, clinical presentation and outcomes in myelodysplastic syndromes",2020,585,General
W3048741722,Lifestyle and mental health disruptions during COVID-19,2021,584,General
W4360992337,Pembrolizumab plus Chemotherapy in Advanced Endometrial Cancer,2023,584,General
W4285098776,Oxidized DNA fragments exit mitochondria via mPTP- and VDAC-dependent channels to activate NLRP3 inflammasome and interferon signaling,2022,581,General
W3159951467,Projected land ice contributions to twenty-first-century sea level rise,2021,573,General
W3090209951,Imbalance of Regulatory and Cytotoxic SARS-CoV-2-Reactive CD4+ T Cells in COVID-19,2020,571,General
W4379879135,An integrated cell atlas of the lung in health and disease,2023,571,General
W3089762823,Recommendations on Acute Kidney Injury Biomarkers From the Acute Disease Quality Initiative Consensus Conference,2020,570,General
W3095385778,Burden of Neurological Disorders Across the US From 1990-2017,2020,570,General
W3132782516,An epidermal patch for the simultaneous monitoring of haemodynamic and metabolic biomarkers,2021,570,General
W4365459497,Assessment of heterogeneity among participants in the Parkinson's Progression Markers Initiative cohort using α-synuclein seed amplification: a cross-sectional study,2023,567,General
W3049406491,Extrachromosomal DNA is associated with oncogene amplification and poor outcome across multiple cancers,2020,564,General
W3134198312,Wildfire smoke impacts respiratory health more than fine particles from other sources: observational evidence from Southern California,2021,564,General
W4311675917,The pathogenesis of rheumatoid arthritis,2022,564,General
W3044005771,NAFLD and cardiovascular diseases: a clinical review,2020,563,General
W3204080639,The Management of Type 1 Diabetes in Adults. A Consensus Report by the American Diabetes Association (ADA) and the European Association for the Study of Diabetes (EASD),2021,562,General
W3133294546,Physics-informed machine learning: case studies for weather and climate modelling,2021,561,General
W4214552015,Mental Health Outcomes in Transgender and Nonbinary Youths Receiving Gender-Affirming Care,2022,561,General
W3122458452,Comprehensive analysis of T cell immunodominance and immunoprevalence of SARS-CoV-2 epitopes in COVID-19 cases,2021,560,General
W4388573970,Development and Validation of the American Heart Association’s PREVENT Equations,2023,559,General
W2996931760,Time Interval Aware Self-Attention for Sequential Recommendation,2020,556,Computer Science
W3012425136,Emerging Materials and Strategies for Personal Thermal Management,2020,556,General
W3047095839,ALKBH5 regulates anti–PD-1 therapy response by modulating lactate and suppressive immune cell accumulation in tumor microenvironment,2020,556,General
W4308574230,The Hippo signalling pathway and its implications in human health and diseases,2022,555,General
W4281687206,Humoral and cellular immune memory to four COVID-19 vaccines,2022,550,General
W3024177706,Metformin Enhances Autophagy and Normalizes Mitochondrial Function to Alleviate Aging-Associated Inflammation,2020,548,General
W4220937793,Complete genomic and epigenetic maps of human centromeres,2022,547,General
W4319456837,"Rheumatoid Arthritis — Common Origins, Divergent Mechanisms",2023,544,General
W3007415664,Global chemical effects of the microbiome include new bile-acid conjugations,2020,533,General
W3013936205,Cystine transporter regulation of pentose phosphate pathway dependency and disulfide stress exposes a targetable metabolic vulnerability in cancer,2020,533,General
W4242111955,A multimodal cell census and atlas of the mammalian primary motor cortex,2021,533,General
W3024294833,Genome-wide association study identifies 32 novel breast cancer susceptibility loci from overall and subtype-specific analyses,2020,529,General
W4283325186,Molecular correlates of clinical response and resistance to atezolizumab in combination with bevacizumab in advanced hepatocellular carcinoma,2022,529,General
W3161479873,CD8+ T cell metabolism in infection and cancer,2021,527,General
W3043952641,American College of Rheumatology Clinical Guidance for Multisystem Inflammatory Syndrome in Children Associated With SARS–CoV‐2 and Hyperinflammation in Pediatric COVID‐19: Version 1,2020,524,General
W3097339274,"Central Nervous System Cancers, Version 3.2020, NCCN Clinical Practice Guidelines in Oncology",2020,524,General
W3000712048,Effect of Alirocumab on Lipoprotein(a) and Cardiovascular Risk After Acute Coronary Syndrome,2020,523,General
W3097338697,Host variables confound gut microbiota studies of human disease,2020,522,General
W3023451851,"More Than Smell—COVID-19 Is Associated With Severe Impairment of Smell, Taste, and Chemesthesis",2020,519,General
W4384816663,An atlas of healthy and injured cell states and niches in the human kidney,2023,519,General
W3003769243,A Critical Review of Machine Learning of Energy Materials,2020,517,General
W3125385902,Global and regional drivers of land-use emissions in 1961–2017,2021,517,General
W3127066344,"NCCN Guidelines Insights: Prostate Cancer, Version 1.2021",2021,517,General
W4321596088,Sepsis-associated acute kidney injury: consensus report of the 28th Acute Disease Quality Initiative workgroup,2023,517,General
W3089136059,Microanatomy of the Human Atherosclerotic Plaque by Single-Cell Transcriptomics,2020,516,General
W3192494717,"Neuroendocrine and Adrenal Tumors, Version 2.2021, NCCN Clinical Practice Guidelines in Oncology",2021,516,General
W4229456303,An integrated wearable microneedle array for the continuous monitoring of multiple biomarkers in interstitial fluid,2022,512,General
W4283589104,Group for Research and Assessment of Psoriasis and Psoriatic Arthritis (GRAPPA): updated treatment recommendations for psoriatic arthritis 2021,2022,512,General
W3095099370,The case for early identification and intervention of chronic kidney disease: conclusions from a Kidney Disease: Improving Global Outcomes (KDIGO) Controversies Conference,2020,511,General
W3098413331,Older Adults and the Mental Health Effects of COVID-19,2020,507,General
W3040840440,Phase 1–2 Trial of Antisense Oligonucleotide Tofersen for <i>SOD1</i> ALS,2020,506,General
W4281674067,"Upadacitinib as induction and maintenance therapy for moderately to severely active ulcerative colitis: results from three phase 3, multicentre, double-blind, randomised trials",2022,506,General
W1593443060,Numerical Linear Algebra and Optimization,2021,505,Computer Science
W3201482376,Clinical Care Pathway for the Risk Stratification and Management of Patients With Nonalcoholic Fatty Liver Disease,2021,504,General
W3081592776,A disordered rock salt anode for fast-charging lithium-ion batteries,2020,503,General
W3039533824,Exploiting chemistry and molecular systems for quantum information science,2020,502,Computer Science
W3212449458,Plastic waste release caused by COVID-19 and its fate in the global ocean,2021,501,General
W2999294700,Comparative Analyses of Vertebrate Gut Microbiomes Reveal Convergence between Birds and Bats,2020,500,General
W3042072141,Dense sampling of bird diversity increases power of comparative genomics,2020,498,General
W3154116283,Constraining the atmospheric limb of the plastic cycle,2021,498,General
W3033913804,Earth microbial co-occurrence network reveals interconnection pattern across microbiomes,2020,497,General
W4310567938,Antiretroviral Drugs for Treatment and Prevention of HIV Infection in Adults,2022,496,General
W3019208434,Photopolymerizable Biomaterials and Light-Based 3D Printing Strategies for Biomedical Applications,2020,495,General
W3216873694,Defining and quantifying the core microbiome: Challenges and prospects,2021,493,General
W4317951947,A wearable cardiac ultrasound imager,2023,493,General
W3004311099,Guide to Spectral Proper Orthogonal Decomposition,2020,492,General
W3011712150,Microalgae as a future food source,2020,492,General
W3036683212,In-Hospital Use of Statins Is Associated with a Reduced Risk of Mortality among Individuals with COVID-19,2020,490,General
W4380769213,Art and the science of generative AI,2023,490,General
W3047392456,Hepatocyte pyroptosis and release of inflammasome particles induce stellate cell activation and liver fibrosis,2020,489,General
W3010629926,MEMOTE for standardized genome-scale metabolic model testing,2020,488,General
W3030476832,Spread of pathological tau proteins through communicating neurons in human Alzheimer’s disease,2020,487,General
W3116473131,ERS statement on chronic thromboembolic pulmonary hypertension,2020,487,General
W4386765496,"Treatment‐resistant depression: definition, prevalence, detection, management, and investigational interventions",2023,487,General
W4309374247,Multiple sclerosis progression: time for a new mechanism-driven framework,2022,486,General
W3191809422,The origins of SARS-CoV-2: A critical review,2021,485,General
W4282941439,Planning experiments: Updated guidance on experimental design and analysis and their reporting III,2022,485,General
W3019168548,QIIME 2 Enables Comprehensive End‐to‐End Analysis of Diverse Microbiome Data and Comparative Studies with Publicly Available Data,2020,484,General
W3091991776,Key Parameters of Tumor Epitope Immunogenicity Revealed Through a Consortium Approach Improve Neoantigen Prediction,2020,484,General
W3002630673,ISMIP6 Antarctica: a multi-model ensemble of the Antarctic ice sheet evolution over the 21st century,2020,482,General
